Words,Count
------------------,16
-------------------------,8
10.41,4
11.34,4
"12/11/2024,",2
"12/11/2025,",2
12:19,2
174,4
18,2
19/09/2023,8
"20/12/2023,",2
2023,2
"30/11/2023,",2
40,2
419,2
50,2
71,2
784,2
91,2
a,16
aberdeen,2
"active,",2
actual,8
ad,8
adopted,2
"ago,",2
ahead,2
american,2
an,8
and,14
anindilyakwa,4
archipelago,4
are,4
as,8
association,2
australia.,6
award,2
become,2
been,2
behind,2
being,2
benin,2
"borowiki,",2
bronzes,2
by,6
cambridge,2
canada.,2
"carpentaria,",4
city.,2
coast,4
"community,",4
completed,4
country.,2
criteria,2
czasu,2
dance,2
days,8
deep,2
disputed,2
earlier,4
edinburgh,2
emphasising,2
enjoy,2
equals,2
established,2
establishing,2
example,4
exeter,2
far,2
feed:,1
feedback,16
festival’s,2
fiction,2
film,2
first,2
followed,2
games.,2
generation,2
generations,2
ghost,2
glasgow,4
grzybów.,2
gulf,4
hailed,2
handed,2
"handover,",2
has,2
have,2
heritage,2
history,2
hoped,2
horniman,2
human,2
hundreds,2
i,4
if,2
in,16
india.,2
indigenous,2
"institutions,”",2
is,2
is:,8
it,4
knee,2
kosztują,2
kupić.,2
kurki,2
lag,2
lakota,2
landmark,4
lasy,2
left,8
lewis,2
literary,2
live,4
london,4
"london,",2
long,2
looted,2
lot,2
manchester,4
"manchester,",4
masz,2
"mcnaught,",2
mind,2
model.,2
modern,2
month,4
moving”,2
możesz,2
museum,4
museums,4
my,8
nation,2
national,2
never,2
newcastle,2
news,9
nie,2
nigeria.,2
northern,4
not,2
not-for-profit,2
objects,8
of,26
off,4
on,4
one,4
others,2
outward-looking,2
over,2
oxford,2
past,4
peers,2
people,2
pełne,2
physically,2
playing,2
"pm,",2
podgrzybki,2
private,8
project.,2
published:,2
regalia,2
regional,2
relationship,2
remains,4
repatriate,2
repatriation,4
restitution,2
return,6
returned,2
returning,8
runs,2
sacred,4
said,2
satire,2
scores,2
sector.,2
see,4
set,2
shirt,2
sierpniu,2
siksika,2
so,2
south,2
spend,2
sports,2
stories,2
survivors’,2
takes,2
team,2
tearful,2
that,2
the,38
there,4
this,6
time,2
to,24
top,2
toronto,2
two,4
tyle,2
uk,2
unesco,2
university,2
until:,8
w,2
was,4
we,2
which,2
who,6
widely,2
would,2
wounded,2
years,2
years.,2
zbierać?,2
“historic,2
“regional,2
…,2
★,2
★★★,2
★★★★★,4
